resume_id,experience_index,company,title,location,start_date,end_date,responsibilities
841a101b884a043b4118ccdc60dd3221,0,Google,Senior Staff Software Engineer | Tech Lead | Individual Contributor,"San Bruno, California, United States",November 2018,Present,"[""YouTube Mobile Performance ICTL presently - Focusing on performance, specifically latency, crashes, jank, and battery for the Android mobile app. Responsible for direction, ideas, and designs for other engineers. Responsible for rewriting key subsystems."",""YouTube System Health and Releases ICTLM - Responsible for reducing Android and iOS mobile app crashes and startup latency. Responsible for the weekly release to over 2 billion daily users.""]"
841a101b884a043b4118ccdc60dd3221,1,Travelport,Principal Software Developer,"Atlanta, GA",January 2010,November 2018,"[""Improved performance of software handling over 12 billion transactions per day on a 24x7 server farm of 5000 blades each with 80 cores."",""Managed databases ranging in size from 50GB to 1TB."",""Served as the company expert on high performance code (C, C++, Java, C#), highly scalable lockless threading, data compression, client‑server communication, high data rates, big data, and minimal latency.""]"
841a101b884a043b4118ccdc60dd3221,2,"Open Scan Technologies, Inc.","Ground Floor Owner, Lead Architect, Chief Technology Officer, Lead Developer, and Product Strategist","Denver, CO",January 1999,June 2008,"[""Founded and grew a startup software company that was acquired by Billtrust in 2014 for $18 million, automating accounts receivable processing."",""Drove product development and company growth to over 35 employees and $8M in annual revenues without outside investment.""]"
841a101b884a043b4118ccdc60dd3221,3,"Execomp, Inc.","Founder, Owner, Lead Architect, Lead Developer, and Product Strategist","Denver, CO",1993,1999,"[""Founded a software consulting start‑up specializing in image processing."",""Led development of innovative image processing, scanning, indexing, and retrieval software."",""Merged Execomp with Open Scan Technologies, Inc. in 1999.""]"
73732e72b32b7c6915a29c3933d28e4a,0,Databricks,Senior Software Engineer,San Francisco Bay Area,February 2024,Present,"[""Autobricks - Improving Databricks runtime performance and usability.""]"
73732e72b32b7c6915a29c3933d28e4a,1,Databricks,Software Engineer,San Francisco Bay Area,April 2022,January 2024,"[""Query Optimization - Learned cost models for query processing.""]"
73732e72b32b7c6915a29c3933d28e4a,2,University of California San Diego,Graduate Student Researcher,null,September 2017,March 2022,"[""Query Optimization for Deep Learning Systems.""]"
73732e72b32b7c6915a29c3933d28e4a,3,Microsoft,Intern - Microsoft Research,"Redmond, Washington, United States",July 2021,September 2021,"[""Resource Management for Serverless Relational Database Management Systems.""]"
73732e72b32b7c6915a29c3933d28e4a,4,Amazon Web Services (AWS),Intern - AWS Redshift,null,June 2020,September 2020,"[""Redshift ML - https://aws.amazon.com/redshift/features/redshift-ml""]"
73732e72b32b7c6915a29c3933d28e4a,5,Microsoft,Intern - Microsoft Gray Systems Lab,Redmond Washington,June 2019,September 2019,"[""Hummingbird - https://github.com/microsoft/hummingbird""]"
73732e72b32b7c6915a29c3933d28e4a,6,Indiana University Bloomington,Analyst/Programmer,"Bloomington, Indiana Area",October 2015,August 2017,"[""Apache Airavata for Science Gateways.""]"
73732e72b32b7c6915a29c3933d28e4a,7,The Apache Software Foundation,Google Summer of Code Intern,null,April 2014,August 2014,"[""Apache Airavata for Science Gateways.""]"
73732e72b32b7c6915a29c3933d28e4a,8,phpMyAdmin,Google Summer of Code Intern,null,May 2013,September 2013,"[""phpMyAdmin contributor.""]"
7d336e03b11fe7c2ab377b996da67f63,0,Shopmonkey,Senior Software Engineer,United States,March 2024,Present,[]
7d336e03b11fe7c2ab377b996da67f63,1,Infor,Senior Software Engineer,United States,September 2021,March 2024,"[""Spear headed initiative to shard a monolithic frontend into Micro-frontends with framework agnostic support, storybook, CI/CD integration, Jest testing, and Tree Shaking"",""Upgraded AngularJS components to modern Angular, improving UX."",""Led front-end style guide development and enforced coding standards for consistency."",""Streamlined workflow and increased productivity by simplifying testing and builds."",""Conducted live product demos, showcasing key features and functionality to interested parties.""]"
7d336e03b11fe7c2ab377b996da67f63,2,Billzio,Founding Software Engineer,San Francisco Bay Area,October 2020,September 2021,"[""Developed FAAS for compressed image storage in Gcloud."",""Designed cross-browser compatible Vue.js components."",""Built RESTful endpoints and versioned database schema's with rollback support."",""Maintained Python Flask back-end with SQLAlchemy and PostgreSQL.""]"
7d336e03b11fe7c2ab377b996da67f63,3,OPSWAT,Software Engineer,San Francisco Bay Area,July 2019,September 2021,"[""Developed a test-driven React npm library to facilitate component reusability."",""Architected a Node.js-based localization engine to improve application usability across multiple languages."",""Led full-stack development initiatives for React, Redux, Electron, and C++, ensuring project success and meeting business objectives."",""Increased engineering productivity by creating Node.js integration tools."",""Resolved security vulnerabilities through comprehensive penetration testing of REST API."",""Developed a SAML SSO utility to enhance user authentication and authorization processes.""]"
7d336e03b11fe7c2ab377b996da67f63,4,San Francisco State University,IT Service Technician Tier 2,San Francisco Bay Area,November 2017,July 2019,"[""Installed and upgraded PC hardware, software, and networking systems to enhance organizational productivity and efficiency.""]"
7d336e03b11fe7c2ab377b996da67f63,5,San Francisco State University,C++ Teaching Assistant,San Francisco Bay Area,August 2018,May 2019,"[""Streamlined grading workflow by developing Java programs that processed exported data from TurnItIn.com, presenting clear and concise results to graders."",""Provided guidance and mentoring to students on best practices for C++ programming, facilitating their learning and growth.""]"
7d336e03b11fe7c2ab377b996da67f63,6,College of the Sequoias,Full Stack Developer,"Visalia, California Area",May 2017,August 2017,"[""Developed a scalable application that integrated with multiple proprietary APIs, including SAML SSO, to enhance functionality and performance."",""Oversaw a team of five engineers, ensuring timely delivery of the alpha product for demonstration purposes, and promoting efficient and effective teamwork.""]"
d9638da6b9c4478c7279923947f2969b,0,Avant,Senior Software Engineer,"Chicago, Illinois, United States",November 2025,Present,[]
d9638da6b9c4478c7279923947f2969b,1,Home Partners of America®,Director of Software Development,"Chicago, Illinois, United States",January 2024,March 2025,[]
d9638da6b9c4478c7279923947f2969b,2,Home Partners of America®,Lead Technical Architect,"Chicago, Illinois, United States",January 2022,December 2023,[]
d9638da6b9c4478c7279923947f2969b,3,Home Partners of America®,Software Team Lead,"Chicago, Illinois, United States",September 2019,December 2021,[]
d9638da6b9c4478c7279923947f2969b,4,Home Partners of America®,Software Developer,"Chicago, Illinois, United States",October 2018,August 2019,[]
d9638da6b9c4478c7279923947f2969b,5,NetMath,Angular Developer,"Urbana-Champaign, Illinois Area",May 2017,October 2018,"[""Worked on client side applications for the web app Nexus, requiring knowledge of AngularJS, model/view/controller structures, Git version control, and Node.js."",""Participated in the migration of Nexus' codebase from AngularJS to Angular 2+, gaining experience in both the old and newer framework.""]"
d9638da6b9c4478c7279923947f2969b,6,NetMath,Lead Mentor,"Urbana-Champaign, Illinois Area",August 2016,May 2017,"[""Guided assigned students through an online Vector Calculus course, communicating via weekly emails, grading assignments, providing feedback, and discussing problem solutions in online chat rooms."",""Evaluated mentors' performance, met with them to review it, attended weekly meetings with supervisors to discuss program improvements, updated and created scheduling and participation documents in Excel and Google, and planned social events.""]"
113a2390dc690ccaf0932e7b60939026,0,Google,Senior Software Engineer,"Mountain View, California",December 2018,Present,[]
113a2390dc690ccaf0932e7b60939026,1,Intellipro Group Inc,Data Ingestion Engineer,Google West Campus - Mountain View CA,October 2016,October 2018,"[""Data Ingestion Engineer for the Google Earth Engine project.""]"
113a2390dc690ccaf0932e7b60939026,2,Kumon,Data Entry & Instructor Kumon Learning Center,"Dublin, CA",February 2015,June 2016,"[""Entered student data using proprietary software synced with an SQL database."",""Taught math (arithmetic - calculus) and English to a class of 40 students one on one for a minimum of six months for each student."",""Prepared and graded packets of daily work for students based on individual ability."",""Part time job after college since I was working on many other personal projects during this time that required lots of my time.""]"
113a2390dc690ccaf0932e7b60939026,3,"University of California, Davis",Junior Specialist/Researcher,"Davis, CA",January 2014,October 2014,"[""Trained undergraduate researches in: reading and manipulating experimental data using Python (scipy) and C++ (ROOT), making readable plots, and writing BASH scripts to automate analysis for large data sets."",""Assembled, maintained and tested detectors + DAC/ADC equipment with oscilloscopes using sanity checks from known pulse generators for an experiment using the cyclotron at Crocker Nuclear Laboratory measuring properties of unstable Argon."",""I also was trained on how to work with Radiological Hazards and had to work with high energy radiation for this experiment."",""Furthermore I set up much of the Safety Equipment, Detectors, and other things for the setup of the experiment.""]"
113a2390dc690ccaf0932e7b60939026,4,"University of California, Davis",Software Dev. and Researcher,"Davis, CA",November 2012,January 2014,"[""Here I wrote Detector Simulation and Statistical Analysis software using the C++ simulation package GEANT 4 for the Long Baseline Neutrino Experiment (LBNE)."",""Some of the Analysis software I wrote made automated cuts to data to boost signal to noise in multiple proposed detector configurations."",""I Implemented additional realistic effects in simulation software by programming realistic detector geometry and heuristic noise effects."",""I Presented research on signal analysis for boosting signal to noise at FermiLab in Chicago with the LBNE collaboration."",""Worked independently with supervision and guidance from a brilliant Postdoc."",""Some other responsibilities included weekly meetings with other Collaborators and teaching colleagues working on various other experiments how to work with big data.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,0,"Ryan Companies US, Inc.",Data Integration Engineer,"Minneapolis, Minnesota, United States",December 2025,Present,"[""I'll be updating ETL transformations, improving data flows, and more to come!""]"
bbd5662844cd123ab0efaeda6bcfe0b7,1,Target,Senior Software Engineer - Showback,"Minneapolis, Minnesota, United States",August 2024,December 2025,"[""I am on the showback org application team, building a Golang backend. I've been building a scoring job that will help internal developers see the cost, techdebt, and stability features of their application. It's been exciting to collaborate with infrastructure engineers from different areas, and develop and build the technology that will support the organization's showback visibility.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,2,Target,Software Engineer - FinOps,"Minneapolis, Minnesota, United States",February 2023,August 2024,"[""Developed and maintained cost management solutions for public and private cloud."",""Designed and executed comparisons for our cloud cost forecasting models."",""Created APIs in Golang as part of an infrastructure-wide cost showback initiative. Temporarily joined a project team under a different manager to get this done."",""Practiced technical communication and collaboration, including presenting at internal Demo Day.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,3,Target,Software Engineer - Emerging Engineer Program,"Minneapolis, Minnesota, United States",January 2022,February 2023,"[""Coded with the full stack: Domo, Golang, MongoDB, PostgreSQL, Python, React, Z-shell."",""Mentored bootcamp students and new Target Engineers."",""Attended online FinOps Foundation events to connect our Efficiency department work to the greater professional community."",""Explored connections between engineering efficiency and sustainability.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,4,Hackbright Academy,Student Engineer,"San Francisco, California, United States (Remote)",September 2021,December 2021,"[""Completed the three month coding intensive sponsored by Target."",""Built a full-stack web application using Python, Javascript, and PostgreSQL."",""Communicated technical concepts, used Agile methodology, and pair-programmed daily.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,5,"Land O'Lakes, Inc.",Transportation Coordinator,"Arden Hills, MN",August 2018,September 2021,"[""Trained new employees and contractors."",""Completed biweekly data cleanup for milk hauler and producer payrolls."",""Outside of work, I studied for and passed the first 2 actuary exams: Probability and Financial Mathematics.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,6,Twin Cities Academy,Mathematics Teacher,"St Paul, Minnesota, United States",January 2017,August 2018,"[""Delivered lessons in: Algebra I, Algebra 1 Honors, Intermediate Algebra, and Math Skills."",""Analyzed curriculum content for the secondary school teaching team."",""Sponsored the Earth club and we made an organic community garden.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,7,Molly's Music and Math,Owner and Web Designer,"St Paul, Minnesota, United States",August 2014,August 2017,"[""Tutored students in math and science, including college Statistics, AP Calculus, AP Physics, and test preparation, and piano."",""Created my own website, marketing, pricing, and billing aspects of my business."",""Supplemented income with substitute teaching and administrative work.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,8,Bethany Academy,Mathematics and Science Teacher,"Bloomington, Minnesota, United States",August 2013,August 2014,"[""Implemented AP Calculus curriculum and prepared students for the exam."",""Delivered lessons in: Algebra I, Algebra II, AP Calculus, Earth Science, and Physics.""]"
bbd5662844cd123ab0efaeda6bcfe0b7,9,P.E.A.S.E. Academy,Mathematics Teacher,"Minneapolis, Minnesota, United States",August 2012,August 2013,"[""Improved mathematics test scores for 85% of students."",""Delivered lessons in: Int Algebra, Geometry, Algebra II, Pre-Calculus, and Calculus."",""This school focused on building trusting relationships and providing sober support to students who were in recovery.""]"
a6185c62cf7a5e7a43fcc565f8032cf0,0,Capital One,Senior Software Engineer,"McLean, VA",July 2024,March 2026,"[""Built a 0-1 Golang-based CLI and GraphQL generation engine called DPI (Data Product Interface), a unified data layer for APIs and datasets in the Card ecosystem that generates resolver code from schema contracts via the genql library, achieving a 77% latency reduction through dataloader batching and goroutine-based concurrent resolution across downstream services."",""Owned batch GraphQL resolution logic for multi-entity queries, including writing resolver code, constructing parameterized GraphQL calls over HTTP, and validating generated graphs against QA environments during genql library upgrades."",""Led DPI platform support including developer office hours for onboarding teams, monthly deployment coordination with survey periods and performance testing, and cross-team stakeholder communication."",""Contributed to Card Accept ML pipeline by implementing record type ingestion using SQS, Lambda, and DynamoDB, including validation logic, message differentiation, and idempotency patterns to prevent duplicate processing."",""Automated cross-platform software distribution using Bogie (Capital One's Kubernetes/Terraform platform) to release across multiple architectures and OS targets or to deploy CloudFormation stacks for Fargate, Route 53, and ALB via AWS and Jenkins CI/CD pipelines."",""Designed and implemented synthetic monitoring using AWS EventBridge and CloudWatch Schedulers, enabling proactive 24/7 health monitoring for mission-critical business APIs that decreased bug discovery time from days to hours.""]"
a6185c62cf7a5e7a43fcc565f8032cf0,1,BJSS,Software Engineer,New York City Metropolitan Area,November 2021,May 2024,"[""Deployed and maintained containerized backend services as part of a distributed trading platform, with services communicating via internal APIs."",""Designed a Go-based backend component that automated translation ingestion and validation, integrating with existing services and test pipelines to reduce developer effort by 50%."",""Contributed to cloud trading platform optimization by analyzing and recommending VM configurations for low-latency workloads."",""Mentored engineers and standardized documentation practices, reducing technical debt and improving team knowledge sharing during sprints.""]"
a6185c62cf7a5e7a43fcc565f8032cf0,2,"Integrated Computer Solutions, Inc.",Qt Software Engineer,null,August 2020,November 2021,"[""Collaborated with diverse companies to design embedded products using QML, C++, and JavaScript resulting in an enhanced user experience."",""Assisted in developing a web portal for storing and graphing PCR curves with React, MongoDB, and Python by improving data visualization and analysis capabilities, improving efficiency among the scientists."",""Initiated a proof of concept for a remote control system for multiple microcomputers using web sockets, Qt, and QML."",""Developed a data file parser using Python with PyQt, leveraging Qt's event-driven architecture for GUI responsiveness.""]"
a6185c62cf7a5e7a43fcc565f8032cf0,3,ATTOLLO PREP,Computer Science and Math Teacher,"Lancaster, Pennsylvania",January 2017,May 2020,"[""Designed and delivered computer science instruction to middle and high school students using Scratch and Python."",""Produced an 8-week structured lesson plan with object-oriented programming, collections, and loops."",""Hosted a 12-hour hackathon where participants were able to develop projects and compete."",""Graded student's projects and homework.""]"
a6185c62cf7a5e7a43fcc565f8032cf0,4,ViacomCBS,Mobile Application Developer Intern,"New York, New York",June 2019,August 2019,"[""Developed a cross-platform Flutter app streaming Spongebob videos on Android and Apple devices, garnering 100,000+ downloads and a 4.5-star rating on app stores, showcasing high user satisfaction and engagement."",""Collaborated with a Scrum team to develop and validate bugs and features for Viacom's Android App, implementing user feedback and resulting in a 19% increase in app ratings and positive user reviews."",""Navigated a significant Android code base building 10+ different apps, successfully integrating new features to ensure app stability and functionality across various Android devices.""]"
7314ef26bc6f8640d787cb823389a198,0,Capital One,Senior Software Engineer,"McLean, Virginia, United States",February 2026,Present,[]
7314ef26bc6f8640d787cb823389a198,1,"J.B. Hunt Transport Services, Inc.",Software Engineer III,"Lowell, Arkansas, United States",April 2022,February 2026,"[""Lead the migration of a legacy Java (Spring Boot) endpoint to C# (.NET Core) for the Fuel Along Route service, transforming into a modern microservices solution capable of processing 100k+ requests daily while maintaining 100% feature parity and system performance."",""Rewrite critical logic in the Java Transit Calculator app to support a new mileage service provider, delivering up to $1M in annual cost savings."",""Implement comprehensive data validation to ensure accuracy across 2M+ daily route calculations, achieving 99.9% consistency with legacy service provider results."",""Take complete ownership of the Enterprise Mileage RESTful API, a mission-critical system processing 5M+ daily mileage calculations across 200+ enterprise clients, becoming the primary subject matter expert for debugging and resolving production incidents."",""Partner cross-functionally with Pricing and Operations teams to enhance fuel stop logic algorithms, leveraging C# framework to effectively find gas stations within certain geometries, achieving a significant improvement in fuel cost estimation accuracy from 92% to 98% across 100k+ daily route calculations; the improved accuracy resulted in reducing driver invoice disputes by 20%."",""Build a route listener app in C# that consumes from Kafka topics at up to 50k+ messages/second, using gRPC for inter-service communication to produce location pings with <500ms response time.""]"
e607df41cf32749793a65c2f6929fa77,0,Banco de Crédito BCP,Technology Engineer (AI/ML),null,February 2025,Present,"[""Led migration of multiple projects from Dynatrace to Grafana/OpenTelemetry using open-source tools, achieving annual cost savings of over $2M. Designed and implemented custom Grafana dashboards and ML-based predictive alerting for proactive application monitoring."",""Integrated mobile applications with Embrace and Grafana to enable full observability across metrics, traces, and logs. Also, deployed Grafana Faro for frontend observability and OpenTelemetry for backend instrumentation, improving end-to-end monitoring coverage.""]"
e607df41cf32749793a65c2f6929fa77,1,Qualifacts,Senior Staff Software Engineer,"Nashville, Tennessee, United States",June 2022,June 2024,"[""Worked on the architectural design and coding of new projects for Carelogic Clinical modules such as taper and titrations for complex-sig medication management."",""Contributed to Analytics Advanced Base Platform with Looker integration, a ByteCode-based API to create and manage Custom Explorer entities, Custom Dashboards, and Looker Embedding for data representation in Carelogic.""]"
e607df41cf32749793a65c2f6929fa77,2,Qualifacts,Senior Software Engineer,"Nashville, Tennessee, United States",November 2018,May 2022,"[""Developed the CareLogic Mobile App for the healthcare industry using Kony Visualizer and JavaScript, delivering a seamless cross-platform experience on Android and iOS. Integrated with REST services through Kony Fabric using Java 8 and Spring Framework."",""Worked on eMAR, Treatment Plan and other projects by leveraging Java 11, Apache Camel, RabbitMQ, and WebSockets to improve performance and reliability."",""Conducted technical research on machine learning, demonstrating practical applications of Object Recognition, Image Colorization, and Facial Recognition using Python, OpenCV, NumPy, and TensorFlow.""]"
e607df41cf32749793a65c2f6929fa77,3,Qualifacts,Lead Software Engineer,"Lima, Peru",June 2016,October 2018,"[""Led agile team on multiple projects to deliver on-time user stories developed and functional testing completed. Responsible to review user stories, estimate each task with the team, split in Sprints, identify dependencies, define the start and end dates with DEV and QA, elaborating the Software Development Plan, creating the Jira Dashboard and following up each Jira task, facilitating the Daily Stand-up Meetings, follow up sprint progress, send and complete the Code Reviews, make the Sprint Demos and lead the Sprint Retrospective meetings."",""A micro-services approach combined with cloud-based DevOps model enterprise solutions. Some technologies and tools used: Java 8, Spring Boot, Batch, MyBatis, Node.js, React, Redux, React-Router, Express.js, JQuery, Swagger, Docker, Git, Gradle, Jenkins, Jira, Crucible, OAuth2, JMeter, Selenium, SauceLabs, Oracle DB, MariaDB, MongoDB, Vertica, Hazelcast, Zuul, Nginx, Dynatrace, RXJava, Hystrix, Junit, Mockito, H2, Camel, Activiti."",""BPMN 2.0, RabbitMQ Stomp for WebSockets, Kafka, Apache Storm, and much more.""]"
e607df41cf32749793a65c2f6929fa77,4,Gutierrez Mining,Project & Operations Manager,"Puno, Peru",November 2014,June 2016,"[""Led underground mining projects from scratch in their different stages like exploration, planning, operations and production. Also, coordinated operation processes between engineers, operation teams, providers and business partners."",""Developed HR software and Android App, to record coordinates of the underground mine in real-time using GPS, compass, pedometer and altimeter. In order to generate quickly a map in Autocad."",""Coordinate monthly workshops between Engineers of Mining Security and different teams such as supervisors, drilling, cleaning, machine operators and security to talk about mining security inside & outside of the mines.""]"
